Title,Description,Keywords,Interests
Bootstrap 4 By Example,Learn responsive web development with Bootstrap 4's front end framework,"Bootstrap,Learn,front",
UML Distilled: A Brief Guide to the Standard Object Modeling Language,"More than 300,000 developers have benefited from past editions of UML Distilled . This third edition is the best resource for quick, no-nonsense insights into understanding and using UML 2.0 and prior versions of the UML. Some readers will want to quickly get up to speed with the UML 2.0 and learn the essentials of the UML. Others will use this book as a handy, quick refer ...more","UML,Distilled,developers",
Multi-Agent Simulation for AI Behaviour Discovery in Operations Research,"We describe ACE0, a lightweight platform for evaluating the suitability and
viability of AI methods for behaviour discovery in multiagent simulations.
Specifically, ACE0 was designed to explore AI methods for multi-agent
simulations used in operations research studies related to new technologies
such as autonomous aircraft. Simulation environments used in production are
often high-fidelity, complex, require significant domain knowledge and as a
result have high R&D costs. Minimal and lightweight simulation environments can
help researchers and engineers evaluate the viability of new AI technologies
for behaviour discovery in a more agile and potentially cost effective manner.
In this paper we describe the motivation for the development of ACE0.We provide
a technical overview of the system architecture, describe a case study of
behaviour discovery in the aerospace domain, and provide a qualitative
evaluation of the system. The evaluation includes a brief description of
collaborative research projects with academic partners, exploring different AI
behaviour discovery methods.","discovery,methods,behaviour",
An Intelligent CNN-VAE Text Representation Technology Based on Text Semantics for Comprehensive Big Data,"In the era of big data, a large number of text data generated by the Internet
has given birth to a variety of text representation methods. In natural
language processing (NLP), text representation transforms text into vectors
that can be processed by computer without losing the original semantic
information. However, these methods are difficult to effectively extract the
semantic features among words and distinguish polysemy in language. Therefore,
a text feature representation model based on convolutional neural network (CNN)
and variational autoencoder (VAE) is proposed to extract the text features and
apply the obtained text feature representation on the text classification
tasks. CNN is used to extract the features of text vector to get the semantics
among words and VAE is introduced to make the text feature space more
consistent with Gaussian distribution. In addition, the output of the improved
word2vec model is employed as the input of the proposed model to distinguish
different meanings of the same word in different contexts. The experimental
results show that the proposed model outperforms in k-nearest neighbor (KNN),
random forest (RF) and support vector machine (SVM) classification algorithms.","text,representation,Internet",
TensorFlow for CNNs: Transfer Learning,"This guided project course is part of the ""Tensorflow for Convolutional Neural Networks"" series, and this series presents material that builds on the second course of DeepLearning.AI TensorFlow Developer Professional Certificate, which will help learners reinforce their skills and build more projects with Tensorflow. In this 1.5-hour long project-based course, you will learn how to apply transfer learning to fine-tune a pre-trained model for your own image classes, and you will train your model with Tensorflow using real-world images. By the end of this project, you will have applied transfer learning on a pre-trained model to train your own image classification model with TensorFlow. This class is for learners who want to learn how to apply transfer learning to re-use pre-trained models to create a new model, work with convolutional neural networks and use Python for building convolutional neural networks with TensorFlow, and for learners who are currently taking a basic deep learning course or have already finished a deep learning course and are searching for a practical deep learning project with TensorFlow project. Also, this project provides learners with further knowledge about creating and training convolutional neural networks and improves their skills in Tensorflow which helps them in fulfilling their career goals by adding this project to their portfolios.","Tensorflow,learning,Certificate",
Engineering Systems in Motion: Dynamics of Particles and Bodies in 2D Motion,"This course is an introduction to the study of bodies in motion as applied to engineering systems and structures. We will study the dynamics of particle motion and bodies in rigid planar (2D) motion. This will consist of both the kinematics and kinetics of motion. Kinematics deals with the geometrical aspects of motion describing position, velocity, and acceleration, all as a function of time. Kinetics is the study of forces acting on these bodies and how it affects their motion. --------------------------- Recommended Background: To be successful in the course you will need to have mastered basic engineering mechanics concepts and to have successfully completed my courses en titled an �Introduction to Engineering Mechanics� and �Applications in Engineering Mechanics.� We will apply many of the engineering fundamentals learned in those classes and you will need those skills before attempting this course. --------------------------- Suggested Readings: While no specific textbook is required, this course is designed to be compatible with any standard engineering dynamics textbook. You will find a book like this useful as a reference and for completing additional practice problems to enhance your learning of the material. --------------------------- The copyright of all content and materials in this course are owned by either the Georgia Tech Research Corporation or Dr. Wayne Whiteman. By participating in the course or using the content or materials, whether in whole or in part, you agree that you may download and use any content and/or material in this course for your own personal, non-commercial use only in a manner consistent with a student of any academic course. Any other use of the content and materials, including use by other academic universities or entities, is prohibited without express written permission of the Georgia Tech Research Corporation. Interested parties may contact Dr. Wayne Whiteman directly for information regarding the procedure to obtain a non-exclusive license.","motion,engineering,study",
Structured second-order methods via natural gradient descent,"In this paper, we propose new structured second-order methods and structured
adaptive-gradient methods obtained by performing natural-gradient descent on
structured parameter spaces. Natural-gradient descent is an attractive approach
to design new algorithms in many settings such as gradient-free,
adaptive-gradient, and second-order methods. Our structured methods not only
enjoy a structural invariance but also admit a simple expression. Finally, we
test the efficiency of our proposed methods on both deterministic non-convex
problems and deep learning problems.","methods,structured,second-order",
Transfer Learning for NLP with TensorFlow Hub,"This is a hands-on project on transfer learning for natural language processing with TensorFlow and TF Hub. By the time you complete this project, you will be able to use pre-trained NLP text embedding models from TensorFlow Hub, perform transfer learning to fine-tune models on real-world data, build and evaluate multiple models for text classification with TensorFlow, and visualize model performance metrics with Tensorboard. Prerequisites: In order to successfully complete this project, you should be competent in the Python programming language, be familiar with deep learning for Natural Language Processing (NLP), and have trained models with TensorFlow or and its Keras API. Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.","Hub,language,TensorFlow",
Reviewing Java,"Reviewing Java provides you with all the insight and direction you need to learn introductory Java programming. Reviewing Java covers the most seen topics in introductory programming courses such as conditions, loops, arrays, classes and inheritance. Reviewing Java touches on some advanced Java programming concepts such as linked lists, stacks, queues, exceptions, sorting ...more","Java,Reviewing,programming",
The Boundary and Taxonomy of Integrator Reach Sets,"Over-approximating the forward reach sets of controlled dynamical systems
subject to set-valued uncertainties is a common practice in systems-control
engineering for the purpose of performance verification. However, specific
algebraic and topological results for the geometry of such sets are rather
uncommon even for simple linear systems such as the integrators. This work
explores the geometry of the forward reach set of the integrator dynamics
subject to compact set-valued uncertainties in its control inputs. Our
contribution includes derivation of a closed-form formula for the support
functions of these sets. This result, then enables us to deduce the parametric
as well as the implicit equations describing the \emph{exact} boundaries of
these reach sets. Specifically, the implicit equations for the bounding
hypersurfaces are shown to be given by vanishing of certain Hankel
determinants. Finally, it is established that the integrator reach sets are
semialgebraic as well as translated zonoids. These results should be useful to
benchmark existing reach set over-approximation algorithms, and to help design
new algorithms for the same.","sets,reach,systems",
Introduction to Virtual Reality,"This course will introduce you to Virtual Reality (VR). The course will teach you everything from the basics of VR- the hardware and the history of VR- to different applications of VR, the psychology of Virtual Reality, and the challenges of the medium. The course is designed for people who are new to VR as a medium. You may have experienced some virtual reality before, and may have some hardware- but this course is suitable to individuals who have never experienced VR and those who do not have much hardware- we will explain Mobile VR as well as devices such as the Oculus Rift and HTC Vive. Introduction to Virtual Reality is the first course in the Virtual Reality Specialisation. A learner with no previous experience in Virtual Reality and/or game programming will be able to evaluate existing VR applications, and design, test, and implement their own VR experiences/games using Unity by the end of the specialisation.","Virtual,Reality,hardware",
3D Math Primer for Graphics and Game Development,"This engaging book presents the essential mathematics needed to describe, simulate, and render a 3D world. Reflecting both academic and in-the-trenches practical experience, the authors teach you how to describe objects and their positions, orientations, and trajectories in 3D using mathematics. The text provides an introduction to mathematics for game designers, including ...more","simulate,world,describe",
Topic Transferable Table Question Answering,"Weakly-supervised table question-answering(TableQA) models have achieved
state-of-art performance by using pre-trained BERT transformer to jointly
encoding a question and a table to produce structured query for the question.
However, in practical settings TableQA systems are deployed over table corpora
having topic and word distributions quite distinct from BERT's pretraining
corpus. In this work we simulate the practical topic shift scenario by
designing novel challenge benchmarks WikiSQL-TS and WikiTQ-TS, consisting of
train-dev-test splits in five distinct topic groups, based on the popular
WikiSQL and WikiTableQuestions datasets. We empirically show that, despite
pre-training on large open-domain text, performance of models degrades
significantly when they are evaluated on unseen topics. In response, we propose
T3QA (Topic Transferable Table Question Answering) a pragmatic adaptation
framework for TableQA comprising of: (1) topic-specific vocabulary injection
into BERT, (2) a novel text-to-text transformer generator (such as T5, GPT2)
based natural language question generation pipeline focused on generating topic
specific training data, and (3) a logical form reranker. We show that T3QA
provides a reasonably good baseline for our topic shift benchmarks. We believe
our topic split benchmarks will lead to robust TableQA solutions that are
better suited for practical deployment.","BERT,topic,table",
Machine Learning Fundamentals,"With the flexibility and features of scikit-learn and Python, build machine learning algorithms that...","Python,build,flexibility",
A single metagrating metastructure for wave-based parallel analog computing,"Wave-based signal processing has witnessed a significant expansion of
interest in a variety of science and engineering disciplines, as it provides
new opportunities for achieving high-speed and low-power operations. Although
flat optics desires integrable components to perform multiple missions, yet,
the current wave-based analog computers can engineer only the spatial content
of the input signal where the processed signal obeys the traditional version of
Snell's law. In this paper, we propose a multi-functional metagrating to
modulate both spatial and angular properties of the input signal whereby both
symmetric and asymmetric optical transfer functions are realized using
high-order space harmonics. The performance of the designed compound metallic
grating is validated through several investigations where closed-form
expressions are suggested to extract the phase and amplitude information of the
diffractive modes. Several illustrative examples are demonstrated to show that
the proposed metagrating allows for simultaneous parallel analog computing
tasks such as first- and second-order spatial differentiation through a single
multi-channel structured surface. It is anticipated that the designed platform
brings a new twist to the field of optical signal processing and opens up large
perspectives for simple integrated image processing systems.","signal,Wave-based,processing",
NumPy Cookbook - Second Edition,"Over 90 fascinating recipes to learn and perform mathematical, scientific, and engineering Python co...","scientific,Python,fascinating",
Learning Laravel's Eloquent,"Develop amazing data-based applications with Eloquent, the Laravel framework ORM","Eloquent,ORM,Laravel",
RStudio for R Statistical Computing Cookbook,Over 50 practical and useful recipes to help you perform data analysis with R by unleashing every na...,"practical,recipes,perform",
An Image Analogies Approach for Multi-Scale Contour Detection,"In this paper we deal with contour detection based on the recent image
analogy principle which has been successfully used for super-resolution,
texture and curves synthesis and interactive editing. Hand-drawn outlines are
initially as benchmarks. Given such a reference image, we present a new method
based on this expertise to locate contours of a query image in the same way
that it is done for the reference (i.e by analogy).
Applying a image analogies for contour detection using hand drawn images as
leaning images cannot gives good result for any query image. The contour
detection may be improved if we increase the number of learning images such
that there will be exist similarity between query image and some reference
images. In addition of the hardness of contours drawing task, this will
increase considerably the time computation.
We investigated in this work, how can we avoid this constraint in order to
guaranty that all contour pixels will be located for any query image. Fourteen
derived stereo patches, derived from a mathematical study, are the knowledge
used in order to locate contours at different scales independently of the light
conditions.
Comprehensive experiments are conducted on different data sets (BSD 500,
Horses of Weizmann). The obtained results show superior performance via
precision and recall vs. hand-drawn contours at multiple resolutions to the
reported state of the art.","image,query,contour",
Multi-View Matching Network for 6D Pose Estimation,"Applications that interact with the real world such as augmented reality or
robot manipulation require a good understanding of the location and pose of the
surrounding objects. In this paper, we present a new approach to estimate the 6
Degree of Freedom (DoF) or 6D pose of objects from a single RGB image. Our
approach can be paired with an object detection and segmentation method to
estimate, refine and track the pose of the objects by matching the input image
with rendered images.","pose,Applications,objects",
Simulation and sensitivities for a phased IceCube-Gen2 deployment,"The IceCube Neutrino Observatory opened the window on high-energy neutrino
astronomy by confirming the existence of PeV astrophysical neutrinos and
identifying the first compelling astrophysical neutrino source in the blazar
TXS0506+056. Planning is underway to build an enlarged detector, IceCube-Gen2,
which will extend measurements to higher energies, increase the rate of
observed cosmic neutrinos and provide improved prospects for detecting fainter
sources. IceCube-Gen2 is planned to have an extended in-ice optical array, a
radio array at shallower depths for detecting ultra-high-energy (>100 PeV)
neutrinos, and a surface component studying cosmic rays. In this contribution,
we will discuss the simulation of the in-ice optical component of the baseline
design of the IceCube-Gen2 detector, which foresees the deployment of an
additional ~120 new detection strings to the existing 86 in IceCube over ~7
Antarctic summer seasons. Motivated by the phased construction plan for
IceCube-Gen2, we discuss how the reconstruction capabilities and sensitivities
of the instrument are expected to progress throughout its deployment.","astrophysical,Observatory,Neutrino",
Introduction to Javascript: The Basics,"In this 2h 10m long project-based course, you will learn how to create dynamic web pages using Javascript. Javascript is one of the most popular scripting languages used in front-end, back-end web applications and hybrid mobile applications. It can be used to add interactivity to static HTML pages. It also could be used at the back end of modern web applications. Moreover, it is the core of many modern frameworks used to build hybrid mobile web applications. Learning Javascript opens up a huge variety of promising career options. Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.","Javascript,web,applications",
Chaos: Making a New Science,"A work of popular science in the tradition of Stephen Hawking and Carl Sagan, this 20th-anniversary edition of James Gleick’s groundbreaking bestseller Chaos introduces a whole new readership to chaos theory, one of the most significant waves of scientific knowledge in our time. From Edward Lorenz’s discovery of the Butterfly Effect, to Mitchell Feigenbaum’s calculation of ...more","Chaos,Sagan,Stephen",
Cooperative Policy Learning with Pre-trained Heterogeneous Observation Representations,"Multi-agent reinforcement learning (MARL) has been increasingly explored to
learn the cooperative policy towards maximizing a certain global reward. Many
existing studies take advantage of graph neural networks (GNN) in MARL to
propagate critical collaborative information over the interaction graph, built
upon inter-connected agents. Nevertheless, the vanilla GNN approach yields
substantial defects in dealing with complex real-world scenarios since the
generic message passing mechanism is ineffective between heterogeneous vertices
and, moreover, simple message aggregation functions are incapable of accurately
modeling the combinational interactions from multiple neighbors. While adopting
complex GNN models with more informative message passing and aggregation
mechanisms can obviously benefit heterogeneous vertex representations and
cooperative policy learning, it could, on the other hand, increase the training
difficulty of MARL and demand more intense and direct reward signals compared
to the original global reward. To address these challenges, we propose a new
cooperative learning framework with pre-trained heterogeneous observation
representations. Particularly, we employ an encoder-decoder based graph
attention to learn the intricate interactions and heterogeneous representations
that can be more easily leveraged by MARL. Moreover, we design a pre-training
with local actor-critic algorithm to ease the difficulty in cooperative policy
learning. Extensive experiments over real-world scenarios demonstrate that our
new approach can significantly outperform existing MARL baselines as well as
operational research solutions that are widely-used in industry.","MARL,GNN,cooperative",
Construyendo Sistemas telefónicos con Asterisk [Espanol],Una fácil introducción para usar y configurar Asterisk para construir sistemas telefónicos ricos en ...,"Asterisk,Una,para",
Solon: Communication-efficient Byzantine-resilient Distributed Training via Redundant Gradients,"There has been a growing need to provide Byzantine-resilience in distributed
model training. Existing robust distributed learning algorithms focus on
developing sophisticated robust aggregators at the parameter servers, but pay
less attention to balancing the communication cost and robustness. In this
paper, we propose Solon, an algorithmic framework that exploits gradient
redundancy to provide communication efficiency and Byzantine robustness
simultaneously. Our theoretical analysis shows a fundamental trade-off among
computational load, communication cost, and Byzantine robustness. We also
develop a concrete algorithm to achieve the optimal trade-off, borrowing ideas
from coding theory and sparse recovery. Empirical experiments on various
datasets demonstrate that Solon provides significant speedups over existing
methods to achieve the same accuracy, over 10 times faster than Bulyan and 80%
faster than Draco. We also show that carefully designed Byzantine attacks break
Signum and Bulyan, but do not affect the successful convergence of Solon.","Byzantine-resilience,Byzantine,Solon",
An End-to-End Visual-Audio Attention Network for Emotion Recognition in User-Generated Videos,"Emotion recognition in user-generated videos plays an important role in
human-centered computing. Existing methods mainly employ traditional two-stage
shallow pipeline, i.e. extracting visual and/or audio features and training
classifiers. In this paper, we propose to recognize video emotions in an
end-to-end manner based on convolutional neural networks (CNNs). Specifically,
we develop a deep Visual-Audio Attention Network (VAANet), a novel architecture
that integrates spatial, channel-wise, and temporal attentions into a visual 3D
CNN and temporal attentions into an audio 2D CNN. Further, we design a special
classification loss, i.e. polarity-consistent cross-entropy loss, based on the
polarity-emotion hierarchy constraint to guide the attention generation.
Extensive experiments conducted on the challenging VideoEmotion-8 and Ekman-6
datasets demonstrate that the proposed VAANet outperforms the state-of-the-art
approaches for video emotion recognition. Our source code is released at:
https://github.com/maysonma/VAANet.","CNN,computing,Emotion",
Professional SQL Server High Availability and Disaster Recovery,This detailed book teaches you high availability and disaster recovery strategies and solutions avai...,"avai,detailed,book",
How Google Works,"Both Eric Schmidt and Jonathan Rosenberg came to Google as seasoned Silicon Valley business executives, but over the course of a decade they came to see the wisdom in Coach John Wooden's observation that 'it's what you learn after you know it all that counts'. As they helped grow Google from a young start-up to a global icon, they relearned everything they knew about manag...more","Eric,Schmidt,Jonathan",
Web Design: Strategy and Information Architecture,"This course is focused on the early user experience (UX) challenges of research, planning, setting goals, understanding the user, structuring content, and developing interactive sequences. While the concepts covered will translate to many kinds of interactive media (apps, digital kiosks, games), our primary focus will be on designing contemporary, responsive websites. In this course you will complete the first half of a large scale project�developing a comprehensive plan for a complex website�by defining the strategy and scope of the site, as well as developing its information architecture and overall structure. Along the way we will also discuss: - Different job descriptions in the web design industry and where UX and UI skills fall within this spectrum - The difference between native apps and websites - The difference of agile vs. waterfall approaches - User personas and site personas - User testing The work and knowledge in this course continues in the last course in the UI/UX Design Specialization, Web Design: Wireframes to Prototypes, where you will tackle�finally�wireframes, visual mockups, and clickable prototypes. This is the third course in the UI/UX Design Specialization, which brings a design-centric approach to user interface (UI) and user experience (UX) design, and offers practical, skill-based instruction centered around a visual communications perspective, rather than on one focused on marketing or programming alone. These courses are ideal for anyone with some experience in graphic or visual design and who would like to build their skill set in UI or UX for app and web design. It would also be ideal for anyone with experience in front- or back-end web development or human-computer interaction and want to sharpen their visual design and analysis skills for UI or UX.","design,user,web",
Aerial Photography with UAV,"The purpose of the course is to provide students with knowledge about the technology of aerial photography using unmanned aerial vehicles (UAVs). The course objectives include: knowledge about various aircraft and payloads, the geodetic control creation, flights planning and their implementation, the main stages of data processing and application of the results obtained. The course is developing by SPBU together with Geoscan Group � the leading Russian UAV manufacturer and processing software developer. This allowed us to make the course fulfilled with the practical aspects of aerial photography with UAV. Upon completion of this course, students will be able to: - Select the aircraft and payloads depending on the task and terrain conditions; - Plan flight mission. Students will know: - The UAV composition; - Requirements for geodetic control of flights; - Data processing; - Types of the results and their usage. This course precedes the previously created course - �Photogrammetric processing of aerial photography materials from UAV�.","UAV,aerial,processing",
The Basics of Trauma Surgery,"This course imparts a wide range of basic knowledge and skills in the field of trauma surgical and orthopedic treatment of patients. To facilitate this, the course employs a new concept of information transfer. We follow a scientific approach and a sophisticated combination of modern teaching methods to vividly impart the taught contents. This included case-based learning, comprehensive factual knowledge, and consecutive quizzes, which help to better memorize the learned contents and later employ them in everyday situations in the field of trauma surgery. The course participants are introduced to the multi-faceted field of the treatment of trauma patients. Different trauma mechanism and their sequelae are elucidated, as well as the respective gold standard of medical treatment of these injuries by means of modern trauma surgery. All episodes � of which each one is dedicated to a distinct pathology � follow the same approach: �\tIntroduction and/or repetition of the anatomic principles �\tPrelude of the topic by means of a film �\tClassification of the treated wound, e.g. according to AO �\tSummary of relevant and current therapeutic options �\tEach episode is interspersed with short quizzes to immediately recapitulate the learned contents and which will help solving the exam quizzes The course was compiled by an interdisciplinary team of internationally renowned experts from the special field of orthopedic surgery from Germany. Depending on the respective consultant�s specialization, suitable case scenarios from our clinic are presented. Dieser Kurs ist auch in deutscher Sprache verf�gbar. F�r die urspr�ngliche, deutsche Version des Kurses besuchen Sie bitte https://www.coursera.org/learn/unfallchirurgie.","trauma,field,contents",
First Steps in Making the Business Case for Sustainability,"The Business School at the University of Colorado Denver wants to help you become a change agent for sustainable business. We hope that with the skills and concepts you gain from this specialization that you will help your business reduce its social and environmental impact. Being a change agent is hard. It takes courage and passion and knowledge. To implement change also requires being able to make the case for that change in terms that people in your company or organization respond to and understand. After completing the specialization, you will be able to: * Discuss the threats and opportunities that major global trends such as climate change present to businesses; * Identify ways a company can improve its environmental and social performance; * Evaluate and compare companies� sustainability activities and products; * Develop a business case for implementing sustainability investments; * Identify key criteria of green businesses and product design; * Be a change agent in your organization; * Understand emerging topics in sustainable business, including those in the public policy space. We're very excited about offering this MOOC specialization and hope it gives you the first step toward learning about and taking action to make the places you work and the products you buy more sustainable. Sustainable business changes daily with new products, innovations and ideas, so you will be important in keeping the class current. We look forward to learning from you as you take this green journey! ______","Business,change,School",
Learning Play! Framework 2,"The Play Framework makes it easy to build web applications with Java & Scala, and this user-friendly...","Scala,Java,Play",
Toward quantifying trust dynamics: How people adjust their trust after moment-to-moment interaction with automation,"Objective: We examine how human operators adjust their trust in automation as
a result of their moment-to-moment interaction with automation. Background:
Most existing studies measured trust by administering questionnaires at the end
of an experiment. Only a limited number of studies viewed trust as a dynamic
variable that can strengthen or decay over time. Method: Seventy-five
participants took part in an aided memory recognition task. In the task,
participants viewed a series of images and later on performed 40 trials of the
recognition task to identify a target image when it was presented with a
distractor. In each trial, participants performed the initial recognition by
themselves, received a recommendation from an automated decision aid, and
performed the final recognition. After each trial, participants reported their
trust on a visual analog scale. Results: Outcome bias and contrast effect
significantly influence human operators' trust adjustments. An automation
failure leads to a larger trust decrement if the final outcome is undesirable,
and a marginally larger trust decrement if the human operator succeeds the task
by him-/her-self. An automation success engenders a greater trust increment if
the human operator fails the task. Additionally, automation failures have a
larger effect on trust adjustment than automation successes. Conclusion: Human
operators adjust their trust in automation as a result of their
moment-to-moment interaction with automation. Their trust adjustments are
significantly influenced by decision-making heuristics/biases. Application:
Understanding the trust adjustment process enables accurate prediction of the
operators' moment-to-moment trust in automation and informs the design of
trust-aware adaptive automation.","trust,automation,human",
Metal Artifact Reduction in 2D CT Images with Self-supervised Cross-domain Learning,"The presence of metallic implants often introduces severe metal artifacts in
the X-ray CT images, which could adversely influence clinical diagnosis or dose
calculation in radiation therapy. In this work, we present a novel
deep-learning-based approach for metal artifact reduction (MAR). In order to
alleviate the need for anatomically identical CT image pairs (i.e., metal
artifact-corrupted CT image and metal artifact-free CT image) for network
learning, we propose a self-supervised cross-domain learning framework.
Specifically, we train a neural network to restore the metal trace region
values in the given metal-free sinogram, where the metal trace is identified by
the forward projection of metal masks. We then design a novel FBP
reconstruction loss to encourage the network to generate more perfect
completion results and a residual-learning-based image refinement module to
reduce the secondary artifacts in the reconstructed CT images. To preserve the
fine structure details and fidelity of the final MAR image, instead of directly
adopting CNN-refined images as output, we incorporate the metal trace
replacement into our framework and replace the metal-affected projections of
the original sinogram with the prior sinogram generated by the forward
projection of the CNN output. We then use the filtered backward projection
(FBP) algorithms for final MAR image reconstruction. We conduct an extensive
evaluation on simulated and real artifact data to show the effectiveness of our
design. Our method produces superior MAR results and outperforms other
compelling methods. We also demonstrate the potential of our framework for
other organ sites.","metal,image,MAR",
Ultra Low Power 3D-Embedded Convolutional Neural Network Cube Based on α-IGZO Nanosheet and Bi-Layer Resistive Memory,"In this paper we propose and evaluate the performance of a 3D-embedded
neuromorphic computation block based on indium gallium zinc oxide
({\alpha}-IGZO) based nanosheet transistor and bi-layer resistive memory
devices. We have fabricated bi-layer resistive random-access memory (RRAM)
devices with Ta$_2$O$_5$ and Al$_2$O$_3$ layers. The device has been
characterized and modeled. The compact models of RRAM and {\alpha}-IGZO based
embedded nanosheet structures have been used to evaluate the system-level
performance of 8 vertically stacked {\alpha}-IGZO based nanosheet layers with
RRAM for neuromorphic applications. The model considers the design space with
uniform bit line (BL), select line (SL), and word line (WL) resistance.
Finally, we have simulated the weighted sum operation with our proposed 8-layer
stacked nanosheet-based embedded memory and evaluated the performance for
VGG-16 convolutional neural network (CNN) for Fashion-MNIST and CIFAR-10 data
recognition, which yielded 92% and 75% accuracy respectively with drop out
layers amid device variation.","IGZO,alpha,based",
From Mathematics to Generic Programming,"In this substantive yet accessible book, pioneering software designer Alexander Stepanov and his colleague Daniel Rose illuminate the principles of generic programming and the mathematical concept of abstraction on which it is based, helping you write code that is both simpler and more powerful. If you're a reasonably proficient programmer who can think logically, you have...more","Alexander,Stepanov,Daniel",
Appcelerator Titanium Smartphone App Development Cookbook,You don’t need to know Objective C or Java to create native apps for iPhone and Android. All you nee...,"Android,Objective,Java",
"Trust, Acceptance and Social Cues in Human-Robot Interaction -- SCRITA 2021","This workshop aimed for a deeper exploration of trust and acceptance in
human-robot interaction (HRI) from a multidisciplinary perspective including
robots' capabilities of sensing and perceiving other agents, the environment,
and human-robot dynamics. The workshop was held online in conjunction with IEEE
RO-MAN 2021 (see https://ro-man2021.org/). Three invited speakers and six
position papers analysed/discussed different aspects of human-robot interaction
that can affect, enhance, undermine, or recover humans' trust in robots, such
as the use of social cues or behaviour transparency. The attendees of different
backgrounds engaged in a dynamic conversation about the relevant challenges of
effectively supporting the design and development of socially acceptable and
trustable robots.
Website: https://scrita.herts.ac.uk/2021/","HRI,human-robot,workshop",
Deep Learning with R Cookbook,Tackle the complex challenges faced while building end-to-end deep learning models using modern R li...,"Tackle,building,deep",
CodeIgniter 2 Cookbook,"As a PHP developer, you may have wondered how much difference the Codeigniter framework might make w...","PHP,Codeigniter,developer",
At the Origins of the Mediterranean Civilization: Archaeology of the City from the Levant to the West - 3rd-1st millennium BC,"Which are the deepest roots of that mix of cultures that we use to call �Mediterranean Civilization�? Which are comminglings and exchanges which produced its most complete fruit, i.e. the city, a place for landscape-modelling communities? And which elements did contribute to build up that baulk of customs, ideas, and innovations which compelled to confrontation and hybridizations different peoples for millennia? What did it made, from pottery to metallurgy, from gastronomy to architecture, from art to religion, of a sea a cradle of civilization? Archaeology may help in disentangling such questions, seeking unexpected answers , by tinkering what ancient Mediterranean peoples left buried in the ground. A privileged point of view of our course is the ancient Phoenician city of Motya, located exactly at the centre of the �sea in the middle�. Throughout the live experience of excavation, with images taken on the field, this course will let you touch the many tesserae of the great mosaic of the Mediterranean Civilization. The field diary of the archaeologist, and the handpick will be the two tools, which will lead us across the sea to discover what such early cities actually were, and how their contribute is still a major part of our shared memory.","Civilization,Mediterranean,call",
Introduction to PicsArt for Social Media Marketing,"Consumers are constantly overloaded with information and images in social media. Part of social media marketing is learning creative ways to draw attention to products and services, oftentimes on a lean budget. In this course, learners will create an edited photo project for social media using the free version of PicsArt. PicsArt is a web-based photo and video editing program. Learners can easily create and implement creative edits with online design tools to use when marketing their business. Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.","social,media,Consumers",
Sonar Code Quality Testing Essentials,Achieve higher levels of Software Quality with Sonar with this book and ebook,"Software,Quality,Sonar",
"Computational Thinking for K-12 Educators: Abstraction, Methods, and Lists","How do gamers cause things to happen when they hit buttons on their controller? How does the computer keep track of gamer's scores? This class teaches the concepts of nested loops, events, and variables. For each concept, we'll start by helping you connect real-world experiences you are already familiar with to the programming concept you are about to learn. Next, through a cognitively scaffolded process we'll engage you in developing your fluency with problem solving with nested loops, events, and variables in a way that keeps frustration at a minimum. Along the way you will learn about the common challenges or ""bugs"" students have with these concepts as well as ways to help them find and fix those concepts. You'll also be guided in running classroom discussions to help students develop deeper understanding of these concepts. Finally, you'll learn how to develop low-frustration learning experiences for learning programming via Parsons' Problems., Additionally, you will create an email to either a counselor, administrator or parent organization to help them understand the value of all students taking computer science.","concepts,events,controller",
"Parallel Medical Imaging for Intelligent Medical Image Analysis: Concepts, Methods, and Applications","There has been much progress in data-driven artificial intelligence
technology for medical image analysis in the last decades. However, it still
remains challenging due to its distinctive complexity of acquiring and
annotating image data, extracting medical domain knowledge, and explaining the
diagnostic decision for medical image analysis. In this paper, we propose a
data-knowledge-driven framework termed as Parallel Medical Imaging (PMI) for
intelligent medical image analysis based on the methodology of interactive
ACP-based parallel intelligence. In the PMI framework, computational
experiments with predictive learning in a data-driven way are conducted to
extract medical knowledge for diagnostic decision support. Artificial imaging
systems are introduced to select and prescriptively generate medical image data
in a knowledge-driven way to utilize medical domain knowledge. Through the
closed-loop optimization based on parallel execution, our proposed PMI
framework can boost the generalization ability and alleviate the limitation of
medical interpretation for diagnostic decisions. Furthermore, we illustrate the
preliminary implementation of PMI method through the case studies of mammogram
analysis and skin lesion image analysis. Experimental results on several public
medical image datasets demonstrate the effectiveness of proposed PMI.","medical,image,PMI",
Optimized C++: Proven Techniques for Heightened Performance,"In today's fast and competitive world, a program's performance is just as important to customers as the features it provides. This practical guide teaches developers performance-tuning principles that enable optimization in C++. You'll learn how to make code that already embodies best practices of C++ design run faster and consume fewer resources on any computer--whether i...more","world,today,fast",
Mastering Angular Components - Second Edition,Develop modern user interfaces using Angular 6 and its component-based architecture.,"Angular,Develop,architecture",
